Zonas turísticas;País de residencia;Meses;Total
Andalucía: Costa del Sol;Finlandia;Marzo;3.268
Andalucía: Costa del Sol;Finlandia;Abril;3.796
Andalucía: Costa del Sol;Finlandia;Mayo;3.967
Andalucía: Costa del Sol;Finlandia;Junio;3.662
Andalucía: Costa del Sol;Finlandia;Julio;2.825
Andalucía: Costa del Sol;Finlandia;Agosto;2.406
Andalucía: Costa del Sol;Finlandia;Septiembre;4.583
Andalucía: Costa del Sol;Finlandia;Octubre;6.278
Andalucía: Costa del Sol;Finlandia;Noviembre;5.176
Andalucía: Costa del Sol;Finlandia;Diciembre;2.814
Andalucía: Costa del Sol;Francia;Total;240.584
Andalucía: Costa del Sol;Francia;Enero;5.859
Andalucía: Costa del Sol;Francia;Febrero;8.223
Andalucía: Costa del Sol;Francia;Marzo;10.899
Andalucía: Costa del Sol;Francia;Abril;25.878
Andalucía: Costa del Sol;Francia;Mayo;30.632
Andalucía: Costa del Sol;Francia;Junio;23.308
Andalucía: Costa del Sol;Francia;Julio;29.463
Andalucía: Costa del Sol;Francia;Agosto;36.830
Andalucía: Costa del Sol;Francia;Septiembre;28.135
Andalucía: Costa del Sol;Francia;Octubre;26.184
Andalucía: Costa del Sol;Francia;Noviembre;7.299
Andalucía: Costa del Sol;Francia;Diciembre;7.875
Andalucía: Costa del Sol;Grecia;Total;6.237
Andalucía: Costa del Sol;Grecia;Enero;182
Andalucía: Costa del Sol;Grecia;Febrero;210
Andalucía: Costa del Sol;Grecia;Marzo;342
Andalucía: Costa del Sol;Grecia;Abril;516
Andalucía: Costa del Sol;Grecia;Mayo;1.398
Andalucía: Costa del Sol;Grecia;Junio;642
Andalucía: Costa del Sol;Grecia;Julio;614
Andalucía: Costa del Sol;Grecia;Agosto;553
Andalucía: Costa del Sol;Grecia;Septiembre;847
Andalucía: Costa del Sol;Grecia;Octubre;268
Andalucía: Costa del Sol;Grecia;Noviembre;341
Andalucía: Costa del Sol;Grecia;Diciembre;324
Andalucía: Costa del Sol;Irlanda;Total;155.207
Andalucía: Costa del Sol;Irlanda;Enero;3.367
Andalucía: Costa del Sol;Irlanda;Febrero;5.332
Andalucía: Costa del Sol;Irlanda;Marzo;8.185
Andalucía: Costa del Sol;Irlanda;Abril;17.379
Andalucía: Costa del Sol;Irlanda;Mayo;19.564
Andalucía: Costa del Sol;Irlanda;Junio;18.245
Andalucía: Costa del Sol;Irlanda;Julio;16.603
Andalucía: Costa del Sol;Irlanda;Agosto;13.499
Andalucía: Costa del Sol;Irlanda;Septiembre;21.911
Andalucía: Costa del Sol;Irlanda;Octubre;18.552
Andalucía: Costa del Sol;Irlanda;Noviembre;7.238
Andalucía: Costa del Sol;Irlanda;Diciembre;5.331
Andalucía: Costa del Sol;Italia;Total;119.815
Andalucía: Costa del Sol;Italia;Enero;4.481
Andalucía: Costa del Sol;Italia;Febrero;4.113
Andalucía: Costa del Sol;Italia;Marzo;6.552
Andalucía: Costa del Sol;Italia;Abril;10.997
Andalucía: Costa del Sol;Italia;Mayo;12.698
Andalucía: Costa del Sol;Italia;Junio;11.838
Andalucía: Costa del Sol;Italia;Julio;11.944
Andalucía: Costa del Sol;Italia;Agosto;16.695
Andalucía: Costa del Sol;Italia;Septiembre;13.568
Andalucía: Costa del Sol;Italia;Octubre;12.773
Andalucía: Costa del Sol;Italia;Noviembre;6.832
Andalucía: Costa del Sol;Italia;Diciembre;7.325
Andalucía: Costa del Sol;Luxemburgo;Total;7.107
Andalucía: Costa del Sol;Luxemburgo;Enero;241
Andalucía: Costa del Sol;Luxemburgo;Febrero;493
Andalucía: Costa del Sol;Luxemburgo;Marzo;324
Andalucía: Costa del Sol;Luxemburgo;Abril;870
Andalucía: Costa del Sol;Luxemburgo;Mayo;888
Andalucía: Costa del Sol;Luxemburgo;Junio;556
Andalucía: Costa del Sol;Luxemburgo;Julio;495
Andalucía: Costa del Sol;Luxemburgo;Agosto;912
Andalucía: Costa del Sol;Luxemburgo;Septiembre;723
Andalucía: Costa del Sol;Luxemburgo;Octubre;708
Andalucía: Costa del Sol;Luxemburgo;Noviembre;450
Andalucía: Costa del Sol;Luxemburgo;Diciembre;447
Andalucía: Costa del Sol;Países Bajos;Total;200.418
Andalucía: Costa del Sol;Países Bajos;Enero;13.727
Andalucía: Costa del Sol;Países Bajos;Febrero;9.844
Andalucía: Costa del Sol;Países Bajos;Marzo;13.284
Andalucía: Costa del Sol;Países Bajos;Abril;21.368
Andalucía: Costa del Sol;Países Bajos;Mayo;23.826
Andalucía: Costa del Sol;Países Bajos;Junio;20.093
Andalucía: Costa del Sol;Países Bajos;Julio;18.584
Andalucía: Costa del Sol;Países Bajos;Agosto;22.064
Andalucía: Costa del Sol;Países Bajos;Septiembre;23.069
Andalucía: Costa del Sol;Países Bajos;Octubre;18.615
Andalucía: Costa del Sol;Países Bajos;Noviembre;8.753
Andalucía: Costa del Sol;Países Bajos;Diciembre;7.190
Andalucía: Costa del Sol;Polonia;Total;64.972
Andalucía: Costa del Sol;Polonia;Enero;1.773
Andalucía: Costa del Sol;Polonia;Febrero;2.214
Andalucía: Costa del Sol;Polonia;Marzo;2.210
Andalucía: Costa del Sol;Polonia;Abril;4.330
Andalucía: Costa del Sol;Polonia;Mayo;7.573
Andalucía: Costa del Sol;Polonia;Junio;9.900
Andalucía: Costa del Sol;Polonia;Julio;8.446
Andalucía: Costa del Sol;Polonia;Agosto;7.289
Andalucía: Costa del Sol;Polonia;Septiembre;8.999
Andalucía: Costa del Sol;Polonia;Octubre;7.271
Andalucía: Costa del Sol;Polonia;Noviembre;3.111
Andalucía: Costa del Sol;Polonia;Diciembre;1.856
Andalucía: Costa del Sol;Portugal;Total;60.170
Andalucía: Costa del Sol;Portugal;Enero;805
Andalucía: Costa del Sol;Portugal;Febrero;1.416
Andalucía: Costa del Sol;Portugal;Marzo;1.856
Andalucía: Costa del Sol;Portugal;Abril;11.811
Andalucía: Costa del Sol;Portugal;Mayo;3.253
Andalucía: Costa del Sol;Portugal;Junio;6.111
Andalucía: Costa del Sol;Portugal;Julio;6.922
Andalucía: Costa del Sol;Portugal;Agosto;11.296
Andalucía: Costa del Sol;Portugal;Septiembre;7.894
Andalucía: Costa del Sol;Portugal;Octubre;4.536
Andalucía: Costa del Sol;Portugal;Noviembre;1.887
Andalucía: Costa del Sol;Portugal;Diciembre;2.383
Andalucía: Costa del Sol;República Checa;Total;27.405
Andalucía: Costa del Sol;República Checa;Enero;1.484
Andalucía: Costa del Sol;República Checa;Febrero;1.184
Andalucía: Costa del Sol;República Checa;Marzo;2.039
Andalucía: Costa del Sol;República Checa;Abril;2.498
Andalucía: Costa del Sol;República Checa;Mayo;2.405
Andalucía: Costa del Sol;República Checa;Junio;2.912
Andalucía: Costa del Sol;República Checa;Julio;2.707
Andalucía: Costa del Sol;República Checa;Agosto;1.976
Andalucía: Costa del Sol;República Checa;Septiembre;4.071
Andalucía: Costa del Sol;República Checa;Octubre;3.744
Andalucía: Costa del Sol;República Checa;Noviembre;1.618
Andalucía: Costa del Sol;República Checa;Diciembre;766
Andalucía: Costa del Sol;Suecia;Total;89.595
Andalucía: Costa del Sol;Suecia;Enero;3.902
Andalucía: Costa del Sol;Suecia;Febrero;4.880
Andalucía: Costa del Sol;Suecia;Marzo;7.245
Andalucía: Costa del Sol;Suecia;Abril;9.563
Andalucía: Costa del Sol;Suecia;Mayo;9.290
Andalucía: Costa del Sol;Suecia;Junio;7.491
Andalucía: Costa del Sol;Suecia;Julio;8.685
Andalucía: Costa del Sol;Suecia;Agosto;6.682
Andalucía: Costa del Sol;Suecia;Septiembre;9.556
Andalucía: Costa del Sol;Suecia;Octubre;10.279
Andalucía: Costa del Sol;Suecia;Noviembre;8.079
Andalucía: Costa del Sol;Suecia;Diciembre;3.941
Andalucía: Costa del Sol;Noruega;Total;68.770
Andalucía: Costa del Sol;Noruega;Enero;1.259
Andalucía: Costa del Sol;Noruega;Febrero;2.369
Andalucía: Costa del Sol;Noruega;Marzo;5.590
Andalucía: Costa del Sol;Noruega;Abril;7.176
Andalucía: Costa del Sol;Noruega;Mayo;8.374
Andalucía: Costa del Sol;Noruega;Junio;6.655
Andalucía: Costa del Sol;Noruega;Julio;7.716
Andalucía: Costa del Sol;Noruega;Agosto;4.825
Andalucía: Costa del Sol;Noruega;Septiembre;8.928
Andalucía: Costa del Sol;Noruega;Octubre;9.161
Andalucía: Costa del Sol;Noruega;Noviembre;4.193
Andalucía: Costa del Sol;Noruega;Diciembre;2.525
Andalucía: Costa del Sol;Reino Unido;Total;870.154
Andalucía: Costa del Sol;Reino Unido;Enero;12.926
Andalucía: Costa del Sol;Reino Unido;Febrero;28.306
Andalucía: Costa del Sol;Reino Unido;Marzo;48.595
Andalucía: Costa del Sol;Reino Unido;Abril;88.297
Andalucía: Costa del Sol;Reino Unido;Mayo;114.816
Andalucía: Costa del Sol;Reino Unido;Junio;117.434
Andalucía: Costa del Sol;Reino Unido;Julio;99.827
Andalucía: Costa del Sol;Reino Unido;Agosto;91.909
Andalucía: Costa del Sol;Reino Unido;Septiembre;112.808
Andalucía: Costa del Sol;Reino Unido;Octubre;92.261
Andalucía: Costa del Sol;Reino Unido;Noviembre;31.099
Andalucía: Costa del Sol;Reino Unido;Diciembre;31.875
Andalucía: Costa del Sol;Suiza;Total;53.670
Andalucía: Costa del Sol;Suiza;Enero;1.061
Andalucía: Costa del Sol;Suiza;Febrero;2.850
Andalucía: Costa del Sol;Suiza;Marzo;4.135
Andalucía: Costa del Sol;Suiza;Abril;5.948
Andalucía: Costa del Sol;Suiza;Mayo;6.409
Andalucía: Costa del Sol;Suiza;Junio;5.726
Andalucía: Costa del Sol;Suiza;Julio;5.737
Andalucía: Costa del Sol;Suiza;Agosto;3.821
Andalucía: Costa del Sol;Suiza;Septiembre;5.371
Andalucía: Costa del Sol;Suiza;Octubre;7.972
Andalucía: Costa del Sol;Suiza;Noviembre;2.672
Andalucía: Costa del Sol;Suiza;Diciembre;1.968
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Total;61.663
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Enero;2.988
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Febrero;2.490
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Marzo;4.217
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Abril;5.330
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Mayo;5.891
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Junio;6.662
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Julio;7.046
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Agosto;6.231
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Septiembre;6.647
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Octubre;6.730
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Noviembre;3.887
Andalucía: Costa del Sol;Resto de Europa sin U.E.;Diciembre;3.544
Andalucía: Costa del Sol;Japón;Total;3.632
Andalucía: Costa del Sol;Japón;Enero;134
Andalucía: Costa del Sol;Japón;Febrero;165
Andalucía: Costa del Sol;Japón;Marzo;163
Andalucía: Costa del Sol;Japón;Abril;318
Andalucía: Costa del Sol;Japón;Mayo;327
Andalucía: Costa del Sol;Japón;Junio;289
Andalucía: Costa del Sol;Japón;Julio;315
Andalucía: Costa del Sol;Japón;Agosto;363
Andalucía: Costa del Sol;Japón;Septiembre;519
Andalucía: Costa del Sol;Japón;Octubre;258
Andalucía: Costa del Sol;Japón;Noviembre;287
Andalucía: Costa del Sol;Japón;Diciembre;494
Andalucía: Costa del Sol;República China;Total;6.375
Andalucía: Costa del Sol;República China;Enero;377
Andalucía: Costa del Sol;República China;Febrero;242
Andalucía: Costa del Sol;República China;Marzo;432
Andalucía: Costa del Sol;República China;Abril;473
Andalucía: Costa del Sol;República China;Mayo;367
Andalucía: Costa del Sol;República China;Junio;477
Andalucía: Costa del Sol;República China;Julio;645
Andalucía: Costa del Sol;República China;Agosto;653
Andalucía: Costa del Sol;República China;Septiembre;419
Andalucía: Costa del Sol;República China;Octubre;672
Andalucía: Costa del Sol;República China;Noviembre;404
Andalucía: Costa del Sol;República China;Diciembre;1.214
Andalucía: Costa del Sol;Estados Unidos;Total;100.251
Andalucía: Costa del Sol;Estados Unidos;Enero;2.223
Andalucía: Costa del Sol;Estados Unidos;Febrero;2.759
Andalucía: Costa del Sol;Estados Unidos;Marzo;4.975
Andalucía: Costa del Sol;Estados Unidos;Abril;7.140
Andalucía: Costa del Sol;Estados Unidos;Mayo;10.932
Andalucía: Costa del Sol;Estados Unidos;Junio;14.339
Andalucía: Costa del Sol;Estados Unidos;Julio;13.169
Andalucía: Costa del Sol;Estados Unidos;Agosto;8.057
Andalucía: Costa del Sol;Estados Unidos;Septiembre;13.079
Andalucía: Costa del Sol;Estados Unidos;Octubre;11.763
Andalucía: Costa del Sol;Estados Unidos;Noviembre;6.398
Andalucía: Costa del Sol;Estados Unidos;Diciembre;5.417
Andalucía: Costa del Sol;Resto de América;Total;122.481
Andalucía: Costa del Sol;Resto de América;Enero;3.808
Andalucía: Costa del Sol;Resto de América;Febrero;4.663
Andalucía: Costa del Sol;Resto de América;Marzo;6.211
Andalucía: Costa del Sol;Resto de América;Abril;9.666
Andalucía: Costa del Sol;Resto de América;Mayo;12.845
Andalucía: Costa del Sol;Resto de América;Junio;11.697
Andalucía: Costa del Sol;Resto de América;Julio;15.086
Andalucía: Costa del Sol;Resto de América;Agosto;14.151
Andalucía: Costa del Sol;Resto de América;Septiembre;16.912
Andalucía: Costa del Sol;Resto de América;Octubre;14.054
Andalucía: Costa del Sol;Resto de América;Noviembre;7.739
Andalucía: Costa del Sol;Resto de América;Diciembre;5.649
Andalucía: Costa del Sol;Países africanos;Total;75.375
Andalucía: Costa del Sol;Países africanos;Enero;2.024
Andalucía: Costa del Sol;Países africanos;Febrero;2.591
Andalucía: Costa del Sol;Países africanos;Marzo;3.512
Andalucía: Costa del Sol;Países africanos;Abril;1.909
Andalucía: Costa del Sol;Países africanos;Mayo;6.883
Andalucía: Costa del Sol;Países africanos;Junio;5.736
Andalucía: Costa del Sol;Países africanos;Julio;11.222
Andalucía: Costa del Sol;Países africanos;Agosto;15.126
Andalucía: Costa del Sol;Países africanos;Septiembre;8.404
Andalucía: Costa del Sol;Países africanos;Octubre;8.491
Andalucía: Costa del Sol;Países africanos;Noviembre;4.174
Andalucía: Costa del Sol;Países africanos;Diciembre;5.303
Asturias, Principado de: Costa Verde;Total;Total;774.819
Asturias, Principado de: Costa Verde;Total;Enero;17.007
Asturias, Principado de: Costa Verde;Total;Febrero;28.260
Asturias, Principado de: Costa Verde;Total;Marzo;34.161
Asturias, Principado de: Costa Verde;Total;Abril;66.937
Asturias, Principado de: Costa Verde;Total;Mayo;66.574
Asturias, Principado de: Costa Verde;Total;Junio;84.651
Asturias, Principado de: Costa Verde;Total;Julio;117.873
Asturias, Principado de: Costa Verde;Total;Agosto;128.112
Asturias, Principado de: Costa Verde;Total;Septiembre;95.344
Asturias, Principado de: Costa Verde;Total;Octubre;67.909
Asturias, Principado de: Costa Verde;Total;Noviembre;35.903
Asturias, Principado de: Costa Verde;Total;Diciembre;32.088
Asturias, Principado de: Costa Verde;Residentes en España;Total;634.292
Asturias, Principado de: Costa Verde;Residentes en España;Enero;15.316
Asturias, Principado de: Costa Verde;Residentes en España;Febrero;25.797
Asturias, Principado de: Costa Verde;Residentes en España;Marzo;30.367
Asturias, Principado de: Costa Verde;Residentes en España;Abril;57.461
Asturias, Principado de: Costa Verde;Residentes en España;Mayo;48.427
Asturias, Principado de: Costa Verde;Residentes en España;Junio;64.689
Asturias, Principado de: Costa Verde;Residentes en España;Julio;98.320
Asturias, Principado de: Costa Verde;Residentes en España;Agosto;107.040
Asturias, Principado de: Costa Verde;Residentes en España;Septiembre;71.479
Asturias, Principado de: Costa Verde;Residentes en España;Octubre;54.359
Asturias, Principado de: Costa Verde;Residentes en España;Noviembre;31.968
Asturias, Principado de: Costa Verde;Residentes en España;Diciembre;29.069
Asturias, Principado de: Costa Verde;No residentes en España;Total;140.527
Asturias, Principado de: Costa Verde;No residentes en España;Enero;1.691
Asturias, Principado de: Costa Verde;No residentes en España;Febrero;2.463
Asturias, Principado de: Costa Verde;No residentes en España;Marzo;3.794
Asturias, Principado de: Costa Verde;No residentes en España;Abril;9.477
Asturias, Principado de: Costa Verde;No residentes en España;Mayo;18.146
Asturias, Principado de: Costa Verde;No residentes en España;Junio;19.962
Asturias, Principado de: Costa Verde;No residentes en España;Julio;19.553
Asturias, Principado de: Costa Verde;No residentes en España;Agosto;21.072
Asturias, Principado de: Costa Verde;No residentes en España;Septiembre;23.865
Asturias, Principado de: Costa Verde;No residentes en España;Octubre;13.551
Asturias, Principado de: Costa Verde;No residentes en España;Noviembre;3.935
Asturias, Principado de: Costa Verde;No residentes en España;Diciembre;3.019
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Total;81.050
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Enero;900
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Febrero;1.596
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Marzo;2.420
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Abril;5.398
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Mayo;10.751
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Junio;11.112
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Julio;11.098
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Agosto;14.431
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Septiembre;12.964
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Octubre;6.590
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Noviembre;2.284
Asturias, Principado de: Costa Verde;Unión Europea 27 (sin España);Diciembre;1.508
Asturias, Principado de: Costa Verde;Alemania;Total;18.333
Asturias, Principado de: Costa Verde;Alemania;Enero;135
Asturias, Principado de: Costa Verde;Alemania;Febrero;243
Asturias, Principado de: Costa Verde;Alemania;Marzo;476
Asturias, Principado de: Costa Verde;Alemania;Abril;1.288
Asturias, Principado de: Costa Verde;Alemania;Mayo;3.079
Asturias, Principado de: Costa Verde;Alemania;Junio;3.308
Asturias, Principado de: Costa Verde;Alemania;Julio;2.422
Asturias, Principado de: Costa Verde;Alemania;Agosto;2.517
Asturias, Principado de: Costa Verde;Alemania;Septiembre;3.183
Asturias, Principado de: Costa Verde;Alemania;Octubre;1.159
Asturias, Principado de: Costa Verde;Alemania;Noviembre;348
Asturias, Principado de: Costa Verde;Alemania;Diciembre;174
Asturias, Principado de: Costa Verde;Austria;Total;2.123
Asturias, Principado de: Costa Verde;Austria;Enero;..
Asturias, Principado de: Costa Verde;Austria;Febrero;..
Asturias, Principado de: Costa Verde;Austria;Marzo;41
Asturias, Principado de: Costa Verde;Austria;Abril;384
Asturias, Principado de: Costa Verde;Austria;Mayo;537
Asturias, Principado de: Costa Verde;Austria;Junio;280
Asturias, Principado de: Costa Verde;Austria;Julio;272
Asturias, Principado de: Costa Verde;Austria;Agosto;286
Asturias, Principado de: Costa Verde;Austria;Septiembre;229
Asturias, Principado de: Costa Verde;Austria;Octubre;44
Asturias, Principado de: Costa Verde;Austria;Noviembre;26
Asturias, Principado de: Costa Verde;Austria;Diciembre;..
Asturias, Principado de: Costa Verde;Bélgica;Total;4.339
Asturias, Principado de: Costa Verde;Bélgica;Enero;39
Asturias, Principado de: Costa Verde;Bélgica;Febrero;65
Asturias, Principado de: Costa Verde;Bélgica;Marzo;99
Asturias, Principado de: Costa Verde;Bélgica;Abril;244
Asturias, Principado de: Costa Verde;Bélgica;Mayo;412
Asturias, Principado de: Costa Verde;Bélgica;Junio;697
Asturias, Principado de: Costa Verde;Bélgica;Julio;892
Asturias, Principado de: Costa Verde;Bélgica;Agosto;520
Asturias, Principado de: Costa Verde;Bélgica;Septiembre;882
Asturias, Principado de: Costa Verde;Bélgica;Octubre;288
Asturias, Principado de: Costa Verde;Bélgica;Noviembre;113
Asturias, Principado de: Costa Verde;Bélgica;Diciembre;87
Asturias, Principado de: Costa Verde;Dinamarca;Total;1.483
Asturias, Principado de: Costa Verde;Dinamarca;Enero;.
Asturias, Principado de: Costa Verde;Dinamarca;Febrero;..
Asturias, Principado de: Costa Verde;Dinamarca;Marzo;..
Asturias, Principado de: Costa Verde;Dinamarca;Abril;111
Asturias, Principado de: Costa Verde;Dinamarca;Mayo;155
Asturias, Principado de: Costa Verde;Dinamarca;Junio;104
Asturias, Principado de: Costa Verde;Dinamarca;Julio;328
Asturias, Principado de: Costa Verde;Dinamarca;Agosto;236
Asturias, Principado de: Costa Verde;Dinamarca;Septiembre;431
Asturias, Principado de: Costa Verde;Dinamarca;Octubre;58
Asturias, Principado de: Costa Verde;Dinamarca;Noviembre;45
Asturias, Principado de: Costa Verde;Dinamarca;Diciembre;..
Asturias, Principado de: Costa Verde;Finlandia;Total;407
Asturias, Principado de: Costa Verde;Finlandia;Enero;..
Asturias, Principado de: Costa Verde;Finlandia;Febrero;..
Asturias, Principado de: Costa Verde;Finlandia;Marzo;12
Asturias, Principado de: Costa Verde;Finlandia;Abril;24
Asturias, Principado de: Costa Verde;Finlandia;Mayo;47
Asturias, Principado de: Costa Verde;Finlandia;Junio;49
Asturias, Principado de: Costa Verde;Finlandia;Julio;71
Asturias, Principado de: Costa Verde;Finlandia;Agosto;12
Asturias, Principado de: Costa Verde;Finlandia;Septiembre;75
Asturias, Principado de: Costa Verde;Finlandia;Octubre;64
Asturias, Principado de: Costa Verde;Finlandia;Noviembre;49
Asturias, Principado de: Costa Verde;Finlandia;Diciembre;..
Asturias, Principado de: Costa Verde;Francia;Total;20.523
Asturias, Principado de: Costa Verde;Francia;Enero;139
Asturias, Principado de: Costa Verde;Francia;Febrero;243
Asturias, Principado de: Costa Verde;Francia;Marzo;468
Asturias, Principado de: Costa Verde;Francia;Abril;1.121
Asturias, Principado de: Costa Verde;Francia;Mayo;3.345
Asturias, Principado de: Costa Verde;Francia;Junio;2.110
Asturias, Principado de: Costa Verde;Francia;Julio;2.349
Asturias, Principado de: Costa Verde;Francia;Agosto;4.445
Asturias, Principado de: Costa Verde;Francia;Septiembre;3.529
Asturias, Principado de: Costa Verde;Francia;Octubre;1.847
Asturias, Principado de: Costa Verde;Francia;Noviembre;655
Asturias, Principado de: Costa Verde;Francia;Diciembre;271
Asturias, Principado de: Costa Verde;Grecia;Total;373
Asturias, Principado de: Costa Verde;Grecia;Enero;40
Asturias, Principado de: Costa Verde;Grecia;Febrero;..
Asturias, Principado de: Costa Verde;Grecia;Marzo;..
Asturias, Principado de: Costa Verde;Grecia;Abril;81
Asturias, Principado de: Costa Verde;Grecia;Mayo;80
Asturias, Principado de: Costa Verde;Grecia;Junio;14
Asturias, Principado de: Costa Verde;Grecia;Julio;48
Asturias, Principado de: Costa Verde;Grecia;Agosto;12
Asturias, Principado de: Costa Verde;Grecia;Septiembre;47
Asturias, Principado de: Costa Verde;Grecia;Octubre;..
Asturias, Principado de: Costa Verde;Grecia;Noviembre;27
Asturias, Principado de: Costa Verde;Grecia;Diciembre;13
Asturias, Principado de: Costa Verde;Irlanda;Total;3.082
Asturias, Principado de: Costa Verde;Irlanda;Enero;19
Asturias, Principado de: Costa Verde;Irlanda;Febrero;19
Asturias, Principado de: Costa Verde;Irlanda;Marzo;16
Asturias, Principado de: Costa Verde;Irlanda;Abril;163
Asturias, Principado de: Costa Verde;Irlanda;Mayo;441
Asturias, Principado de: Costa Verde;Irlanda;Junio;638
Asturias, Principado de: Costa Verde;Irlanda;Julio;408
Asturias, Principado de: Costa Verde;Irlanda;Agosto;357
Asturias, Principado de: Costa Verde;Irlanda;Septiembre;670
Asturias, Principado de: Costa Verde;Irlanda;Octubre;231
Asturias, Principado de: Costa Verde;Irlanda;Noviembre;78
Asturias, Principado de: Costa Verde;Irlanda;Diciembre;43
Asturias, Principado de: Costa Verde;Italia;Total;9.214
Asturias, Principado de: Costa Verde;Italia;Enero;170
Asturias, Principado de: Costa Verde;Italia;Febrero;120
Asturias, Principado de: Costa Verde;Italia;Marzo;180
Asturias, Principado de: Costa Verde;Italia;Abril;335
Asturias, Principado de: Costa Verde;Italia;Mayo;780
Asturias, Principado de: Costa Verde;Italia;Junio;1.189
Asturias, Principado de: Costa Verde;Italia;Julio;1.408
Asturias, Principado de: Costa Verde;Italia;Agosto;2.535
Asturias, Principado de: Costa Verde;Italia;Septiembre;1.125
Asturias, Principado de: Costa Verde;Italia;Octubre;842
Asturias, Principado de: Costa Verde;Italia;Noviembre;214
Asturias, Principado de: Costa Verde;Italia;Diciembre;315
Asturias, Principado de: Costa Verde;Luxemburgo;Total;126
Asturias, Principado de: Costa Verde;Luxemburgo;Enero;..
Asturias, Principado de: Costa Verde;Luxemburgo;Febrero;..
Asturias, Principado de: Costa Verde;Luxemburgo;Marzo;..
Asturias, Principado de: Costa Verde;Luxemburgo;Abril;29
Asturias, Principado de: Costa Verde;Luxemburgo;Mayo;..
Asturias, Principado de: Costa Verde;Luxemburgo;Junio;44
Asturias, Principado de: Costa Verde;Luxemburgo;Julio;..
Asturias, Principado de: Costa Verde;Luxemburgo;Agosto;38
Asturias, Principado de: Costa Verde;Luxemburgo;Septiembre;..
Asturias, Principado de: Costa Verde;Luxemburgo;Octubre;..
Asturias, Principado de: Costa Verde;Luxemburgo;Noviembre;..
Asturias, Principado de: Costa Verde;Luxemburgo;Diciembre;..
Asturias, Principado de: Costa Verde;Países Bajos;Total;6.512
Asturias, Principado de: Costa Verde;Países Bajos;Enero;75
Asturias, Principado de: Costa Verde;Países Bajos;Febrero;132
Asturias, Principado de: Costa Verde;Países Bajos;Marzo;420
Asturias, Principado de: Costa Verde;Países Bajos;Abril;198
Asturias, Principado de: Costa Verde;Países Bajos;Mayo;860
Asturias, Principado de: Costa Verde;Países Bajos;Junio;909
Asturias, Principado de: Costa Verde;Países Bajos;Julio;824
Asturias, Principado de: Costa Verde;Países Bajos;Agosto;1.289
Asturias, Principado de: Costa Verde;Países Bajos;Septiembre;968
Asturias, Principado de: Costa Verde;Países Bajos;Octubre;488
Asturias, Principado de: Costa Verde;Países Bajos;Noviembre;253
Asturias, Principado de: Costa Verde;Países Bajos;Diciembre;97
Asturias, Principado de: Costa Verde;Polonia;Total;1.100
Asturias, Principado de: Costa Verde;Polonia;Enero;34
Asturias, Principado de: Costa Verde;Polonia;Febrero;47
Asturias, Principado de: Costa Verde;Polonia;Marzo;29
Asturias, Principado de: Costa Verde;Polonia;Abril;91
Asturias, Principado de: Costa Verde;Polonia;Mayo;94
Asturias, Principado de: Costa Verde;Polonia;Junio;79
Asturias, Principado de: Costa Verde;Polonia;Julio;160
Asturias, Principado de: Costa Verde;Polonia;Agosto;156
Asturias, Principado de: Costa Verde;Polonia;Septiembre;182
Asturias, Principado de: Costa Verde;Polonia;Octubre;110
Asturias, Principado de: Costa Verde;Polonia;Noviembre;94
Asturias, Principado de: Costa Verde;Polonia;Diciembre;24
Asturias, Principado de: Costa Verde;Portugal;Total;6.896
Asturias, Principado de: Costa Verde;Portugal;Enero;91
Asturias, Principado de: Costa Verde;Portugal;Febrero;520
Asturias, Principado de: Costa Verde;Portugal;Marzo;289
Asturias, Principado de: Costa Verde;Portugal;Abril;892
Asturias, Principado de: Costa Verde;Portugal;Mayo;405
Asturias, Principado de: Costa Verde;Portugal;Junio;704
Asturias, Principado de: Costa Verde;Portugal;Julio;844
Asturias, Principado de: Costa Verde;Portugal;Agosto;1.224
Asturias, Principado de: Costa Verde;Portugal;Septiembre;726
Asturias, Principado de: Costa Verde;Portugal;Octubre;781
