"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Gary Payton II","Gol","G","32.1","28","13.1","14.4","11.6","15","0.6","74","0.716","32","0.156","0.571","0.577","4.6","2.8","1.2","0.7","0.4","0.5","7.4","5.9","8.6","7.6","120.1","103.1"
"","Jaylin Williams","Okc","F","22.5","12","13.3","15","14.3","0","0","8","0.75","40","0.35","0.563","0.563","4.5","4","2.2","0.3","0.5","0.7","8.5","6.7","10.7","10.3","120","95.2"
"","Nick Smith Jr.","Cha","G","20.7","18","10.6","19.3","5.8","2","0.5","37","0.351","44","0.409","0.494","0.495","4.5","1.4","0.9","0.3","0.1","0.3","5.9","5.4","6.8","6.7","106.1","113.5"
"","Sandro Mamukelashvili","San","F-C","25.7","23","8.7","17.7","12.1","20","0.75","22","0.773","43","0.419","0.677","0.698","4.5","2.6","0.3","0.2","0.3","0.4","7.1","4.8","7.4","7","127","106.3"
"","Julian Phillips","Chi","F","21.2","39","13.6","13.5","9.5","32","0.656","61","0.59","82","0.317","0.524","0.544","4.4","1.9","0.4","0.5","0.3","0.4","6.3","4.8","6.7","4.4","110.3","111.9"
"","Kris Murray","Por","F","24.4","33","14","14.1","12.5","25","0.4","77","0.597","49","0.286","0.532","0.526","4.4","2.3","1","0.4","0.2","0.5","6.7","5.3","7.6","6.2","110","116.3"
"","Charles Bassey","San","C-F","24.2","26","10.4","18.6","17.7","25","0.6","88","0.568","0","0","0.568","0.581","4.4","4.2","0.5","0.3","0.9","0.7","8.7","4.9","9.1","8.1","111.3","97.1"
"","KJ Simpson","Cha","G","22.4","12","14.4","19.4","16.4","15","0.667","32","0.406","29","0.172","0.336","0.377","4.3","1.8","1.7","0.8","0.2","1","6","5.9","7.7","6.6","87.5","110.1"
"","Pelle Larsson","Mia","G","23.9","23","13.8","13.7","12.6","27","0.63","41","0.61","35","0.314","0.546","0.569","4.3","1.7","1.2","0.5","0.1","0.5","6","5.5","7.2","6","115.4","101.5"
"","Jamal Cain","Nor","F","25.8","16","14","13","11.2","16","0.625","27","0.593","28","0.321","0.536","0.556","4.3","2.8","0.6","0.5","0.4","0.4","7.1","4.9","7.8","5.5","114","113"
"","Daniel Theis","Nor","F-C","32.8","31","15.4","11.9","15.5","30","0.833","71","0.606","32","0.219","0.519","0.568","4.3","4.2","1.4","0.4","0.5","0.6","8.5","5.6","9.8","7.6","117.5","109.2"
